04.JPG,04.JPG,05.JPG,06.JPG,07.JPG
Camera HYP,207.909,212.529,212.529,217.359
Camera X,-17.826,-40.222,-59.333,-37.727
Camera Y,207.143,208.688,204.078,214.06
Robot X,-28.826,-51.222,-70.333,-48.727
Robot Y,198.643,200.188,195.578,205.56
Robot Angle,-8.257,-14.352,-19.779,-13.336
,,,,
Actual Robot X,25,44,64.5,50
Actual Robot Y,160,159,159,149
Camera HYP,154.75,172,178,166
,,,,18.5
,,,,28.75
Angle to field,0,0,0,30.27653359
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
